"","pce","pop","psavert","uempmed","unemploy"
"1",506.7,198712,12.6,4.5,2944
"2",509.8,198911,12.6,4.7,2945
"3",515.6,199113,11.9,4.6,2958
"4",512.2,199311,12.9,4.9,3143
"5",517.4,199498,12.8,4.7,3066
"6",525.1,199657,11.8,4.8,3018
"7",530.9,199808,11.7,5.1,2878
"8",533.6,199920,12.3,4.5,3001
"9",544.3,200056,11.7,4.1,2877
"10",544,200208,12.3,4.6,2709
"11",549.8,200361,12,4.4,2740
"12",556.3,200536,11.7,4.4,2938
"13",563.2,200706,10.7,4.5,2883
"14",567,200898,10.5,4.2,2768
"15",568.2,201095,10.6,4.6,2686
"16",571.6,201290,10.8,4.8,2689
"17",576.7,201466,10.6,4.4,2715
"18",576.5,201621,11.1,4.4,2685
"19",583.5,201760,10.3,4.4,2718
"20",588.7,201881,9.7,4.9,2692
"21",588.9,202023,10.2,4,2712
"22",593.9,202161,9.7,4,2758
"23",600.3,202331,10.1,4.2,2713
"24",600.9,202507,11.1,4.4,2816
"25",602.7,202677,11.8,4.4,2868
"26",609.9,202877,11.5,4.4,2856
"27",613.2,203090,11.6,4.7,3040
"28",618.5,203302,11.4,4.5,3049
"29",620.5,203500,11.6,4.8,2856
"30",622.8,203675,11.8,4.6,2884
"31",628.7,203849,11.8,4.6,3201
"32",634,204008,11.7,4.5,3453
"33",632.3,204156,12.4,4.6,3635
"34",636,204401,13.3,4.1,3797
"35",642.4,204607,12.4,4.7,3919
"36",646.3,204830,12.3,4.9,4071
"37",648.5,205052,13.5,5.1,4175
"38",652.9,205295,13.4,5.4,4256
"39",659.1,205540,12.9,5.2,4456
"40",658.3,205788,13.1,5.2,4591
"41",656.6,206024,13.6,5.6,4898
"42",665.6,206238,13.2,5.9,5076
"43",676.1,206466,13.3,6.2,4986
"44",679.4,206668,13.3,6.3,4903
"45",682,206855,13.5,6.4,4987
"46",688.8,207065,13.2,6.5,4959
"47",691.1,207260,13.6,6.7,4996
"48",699.8,207462,14.7,5.7,4949
"49",698.9,207661,13.8,6.2,5035
"50",704.9,207881,13.6,6.4,5134
"51",713,208114,13.3,5.8,5042
"52",715.8,208345,13.3,6.5,4954
"53",720.9,208555,13.1,6.4,5161
"54",728.4,208740,13,6.2,5154
"55",731.5,208917,12.5,6.2,5019
"56",736.2,209061,12.8,6.6,4928
"57",749.2,209212,11.8,6.6,5038
"58",752.5,209386,11.5,6.7,4959
"59",758,209545,11.7,6.6,4922
"60",761.6,209725,11.7,5.4,4923
"61",769.9,209896,11.7,6.1,4913
"62",776.3,210075,12,6,4939
"63",781.1,210278,12.2,5.6,4849
"64",794.9,210479,13,5.7,4875
"65",800.5,210656,13.6,5.7,4602
"66",806.1,210821,13.7,6.1,4543
"67",816.5,210985,12.4,5.7,4326
"68",825.8,211120,12.5,5.2,4452
"69",832.8,211254,12.7,5.5,4394
"70",835.7,211420,13.2,5,4459
"71",841.6,211577,13.2,4.9,4329
"72",844.3,211746,13.6,5,4363
"73",854.1,211909,13.2,5.2,4305
"74",853.3,212092,13.9,4.9,4305
"75",869.2,212289,13.1,5.4,4350
"76",868.2,212475,14.4,5.5,4144
"77",876.9,212634,14.4,5.1,4396
"78",876.6,212785,14.8,4.7,4489
"79",884.5,212932,14.3,5,4644
"80",889.7,213074,14.2,5.1,4731
"81",901.4,213211,13.4,4.8,4634
"82",910.8,213361,13.1,5,4618
"83",922.4,213513,12.8,4.6,4705
"84",928,213686,12.8,5.3,4927
"85",937.9,213854,12.8,5.7,5063
"86",954.8,214042,12.1,5,5022
"87",955.1,214246,12.9,5.3,5437
"88",959.2,214451,13.4,5.5,5523
"89",956.2,214625,13.8,5.2,6140
"90",961.8,214782,14,5.7,6636
"91",975.6,214931,13.2,6.3,7501
"92",989.4,215065,12.5,7.1,7520
"93",990.6,215198,12.7,7.2,7978
"94",995,215353,14.2,8.7,8210
"95",1018.9,215523,17.3,9.4,8433
"96",1026.8,215768,14.3,8.8,8220
"97",1039.8,215973,12.6,8.6,8127
"98",1047,216195,13,9.2,7928
"99",1054.8,216393,13,9.2,7923
"100",1060.9,216587,13.4,8.6,7897
"101",1075.8,216771,12.7,9.5,7794
"102",1092.1,216931,12,9,7744
"103",1107.1,217095,11.7,9,7534
"104",1107.7,217249,12.3,8.2,7326
"105",1114.9,217381,12.2,8.7,7230
"106",1125.4,217528,11.7,8.2,7330
"107",1122.7,217685,12.3,8.3,7053
"108",1140.5,217861,11.4,7.8,7322
"109",1149.6,218035,11.7,7.7,7490
"110",1158,218233,11.7,7.9,7518
"111",1168.8,218440,11.4,7.8,7380
"112",1176.8,218644,11.1,7.7,7430
"113",1189,218834,11.4,8.4,7620
"114",1211.5,219006,10.6,8,7545
"115",1215,219179,10.6,7.5,7280
"116",1231.3,219344,9.3,7.2,7443
"117",1238.3,219504,10.5,7.2,7307
"118",1247.3,219684,10.5,7.3,7059
"119",1257.1,219859,10.3,7.9,6911
"120",1263.6,220046,10.6,6.2,7134
"121",1280.5,220239,10.5,7.1,6829
"122",1285.7,220458,10.9,7,6925
"123",1294.5,220688,11.1,6.7,6751
"124",1311.4,220904,11,6.9,6763
"125",1327,221109,11.2,7,6815
"126",1336,221303,11.4,6.8,6386
"127",1329.5,221477,11.9,6.5,6489
"128",1355.1,221629,11.1,6.7,6318
"129",1377.5,221792,11,6.2,6337
"130",1396.4,221991,10.8,6.1,6180
"131",1412,222176,10.3,5.7,6127
"132",1425.8,222379,10,6,6028
"133",1426.8,222585,10.9,5.8,6309
"134",1447,222805,10.5,5.8,6080
"135",1452.9,223053,10.6,5.6,6125
"136",1466.9,223271,10.7,5.9,5947
"137",1480.6,223477,10.5,5.5,6077
"138",1496.5,223670,10.4,5.6,6228
"139",1502.4,223865,11.1,5.9,6109
"140",1517.8,224053,11.1,5.9,6173
"141",1531.2,224235,11.2,5.9,6109
"142",1538.4,224438,11,5.4,6069
"143",1558.8,224632,10.3,5.6,5840
"144",1575.7,224843,9.9,5.6,5959
"145",1586.1,225055,10.6,5.9,5996
